reactor_id,reactor_name,owner,tag,location,manufacturer,manufacturer_model,type,scale,D_tank_m,H_m,H_max_m,D_imp_m,impeller_type,Np,Nq,N_rpm_min,N_rpm_max,V_L_min,V_L_max,V_L,shell_material,lining,baffles,bottom_dish,top_dish,impeller_count,imp1_clearance_m,imp1_height_m,D_imp2_m,Np2,imp2_clearance_m,imp2_height_m,D_imp3_m,Np3,imp3_clearance_m,imp3_height_m,Zwietering_S,GMB_z,wall_thickness_mm,OD_m,knuckle_radius_m,notes,lining_material,instrumentation,discharge_location,insulated,gas_addition,gas_feed_control,no_ports,motor_power_kW,aux_units,cip,heating_cooling,heat_transfer_medium,heat_exchanger,T_max_C,P_max_atm,impeller_type2,impeller_type3,impeller_flow,impeller_model,impeller_flow2,impeller_model2,impeller_flow3,impeller_model3,probes,search_name
RX-021,Nalas 5 L Buchi,Nalas,,Centerbrook,Buchi,5 L HP20,Batch,Pilot,0.148,0.215,0.3016,0.046,"PBT, 45° (4)",1.3,,10.0,1500.0,1.3,4.0,5.0,Stainless Steel,,,DIN Torispherical,Flat,1.0,0.04045,0.002,,,,,,,,,,,6.0,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Axial,,,,,,,"Nalas 5 L Buchi (PBT, 45° (4))"
RX-022,Nalas 20 L Buchi,Nalas,,Centerbrook,Buchi,20 L,Batch,Pilot,0.276,0.325,0.381,0.08,"PBT, 45° (3)",,,10.0,2000.0,2.0,20,21.7,Stainless Steel,,1,DIN Torispherical,DIN Torispherical,1.0,0.1102,0.00135,,,,,,,,,,,10.0,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,,,Axial,,,,,,,"Nalas 20 L Buchi (PBT, 45° (3))"
RX-023,Cambrex R-901,Cambrex,R-901,High Point,De Dietrich,,Batch,Manufacturing,1.218,1.467,1.775,0.7366,"Optifoil, 45° (3)",0.75,,12.0,125.0,232.7,1932.3,2165.0,Carbon Steel,yes,3,2:1 Elliptical,2:1 Elliptical,2.0,0.0635,0.16312448,0.6604,1.3,0.94110275,0.1380284,,,,,,,16.0,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,"Cambrex R-901 (Hybrid hydrofoil, 45° (3))"
RX-024,Cambrex R-902,Cambrex,R-902,High Point,De Dietrich,,Batch,Manufacturing,1.218,1.467,1.775,0.7366,"Optifoil, 45° (3)",0.75,,12.0,125.0,232.7,1932.3,2165.0,Carbon Steel,yes,3,2:1 Elliptical,2:1 Elliptical,2.0,0.0635,0.16312448,0.6604,1.3,0.94110275,0.1380284,,,,,,,16.0,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,"Cambrex R-902 (Hybrid hydrofoil, 45° (3))"
RX-025,Cambrex R-401,Cambrex,R-401,High Point,De Dietrich,,Batch,Manufacturing,1.218,1.467,1.775,0.7366,"Optifoil, 30° (3)",0.75,,12.0,125.0,232.7,1932.3,2165.0,Carbon Steel,yes,3,2:1 Elliptical,2:1 Elliptical,2.0,0.079375,0.16312448,0.6604,1.3,0.94110275,0.1380284,,,,,,,16.0,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,"Cambrex R-401 (Hybrid hydrofoil, 30° (3))"
RX-026,Cambrex R-402,Cambrex,R-402,High Point,De Dietrich,,Batch,Manufacturing,1.218,1.467,1.775,0.7366,"Optifoil, 30° (3)",0.75,,12.0,125.0,232.7,1932.3,2165.0,Carbon Steel,yes,3,2:1 Elliptical,2:1 Elliptical,2.0,0.079375,0.16312448,0.6604,1.3,0.94110275,0.1380284,,,,,,,16.0,,,,,,,,Headspace,Constant Pressure,,,,,,,,,,"PBT, 45° (3)",,Axial,,Axial,,,,,"Cambrex R-402 (Hybrid hydrofoil, 30° (3))"
RX-027,Takeda TMA EasyMax-102,Takeda,,TMA,Mettler Toledo,EasyMax 102,Batch,Lab,0.052,0.088,,0.038,Pitched-blade turbine,,,50.0,1000.0,0.01,0.1,0.1,Stainless Steel,No,No,Torispherical,Flat,1.0,0.0101,0.0088,,,,,,,,,,,,,,,,Tr probe,,,Headspace,Constant Pressure,,,,,Yes,,,,,,,Axial,,,,,,Tr,Takeda TMA EasyMax-102 (Tr; Pitched-blade turbine)
RX-028,Cambrex R-4140,Cambrex,R-4140,Charles City,De Dietrich,,Batch,Manufacturing,2.452,2.744,3.366,1.3,"Optifoil, 30° (3)",0.75,,,,846.418075,"14,774",16677.0,Carbon Steel,,"yes,1 or 2",2:1 Elliptical,2:1 Elliptical,2.0,0.123825,0.282575,1.050925,1.3,1.056894,0.19304,,,,,,,24.0,,,,,,,,Na,Na,,,,,,,,,,"Flat Turbine, 45° (3)",,Axial,,Axial/Radial,,,,,"Cambrex Cambrex R-4140 (Optifoil, 30° (3), 2)"
RX-029,Cambrex R-4550,Cambrex,R-4550,Charles City,Pfaulder,,Batch,Manufacturing,1.524,1.8288,2.21,0.7366,CBR Turbine (4),2.7,,,117.0,187.0,3785.41178,4258.58825,Carbon Steel,,yes,2:1 Elliptical,2:1 Elliptical,2.0,0.06,0.168,0.686,1.3,0.788,0.10651613,,,,,,,16.0,,,,,,,,,,,,,,,,,,,"Flat Turbine, 45° (3)",,Radial,,Axial/Radial,,,,,"Cambrex Cambrex R-4550 (CBR Turbine (4), 2)"
RX-030,Cambrex R-4552,Cambrex,R-4552,Charles City,Pfaulder,,Batch,Manufacturing,1.219,1.473,1.7779,0.54,CBR Turbine (4),2.7,,,143.0,134.76066,1892.70589,2195.53883,Carbon Steel,,yes,2:1 Elliptical,2:1 Elliptical,2.0,0.0444,0.1699,0.5588,1.3,0.7733,0.08477,,,,,,,16.0,,,,,,,,,,,,,,,,,,,"Flat Turbine, 45° (3)",,Radial,,Axial/Radial,,,,,"Cambrex Cambrex R-4552 (CBR Turbine (4), 2)"
